iterations,learning_rate,depth,l2_leaf_reg,recall,roc_auc,balance_score
175,0.07,5,4,0.9888680425265791,0.8037622584679989,0.896315150497289
175,0.07,4,3,0.9889931207004378,0.8035887085145208,0.8962909146074793
150,0.07,4,3,0.9891181988742964,0.8034444476488757,0.896281323261586
150,0.1,4,4,0.9889931207004378,0.803557902077231,0.8962755113888343
175,0.05,6,4,0.9887429643527205,0.8038076633580693,0.8962753138553949
200,0.07,5,4,0.9886178861788618,0.8038961027369369,0.8962569944578993
150,0.05,5,5,0.9891181988742964,0.803394729213772,0.8962564640440343
150,0.05,5,4,0.9891181988742964,0.80338496374581,0.8962515813100532
200,0.07,5,5,0.9886178861788618,0.8038337582570259,0.8962258222179438
200,0.07,4,4,0.9888680425265791,0.8035802687154192,0.8962241556209991
175,0.07,4,4,0.9888680425265791,0.8035778280800339,0.8962229353033064
150,0.05,5,3,0.9889931207004378,0.8034191165458852,0.8962061186231615
150,0.1,6,3,0.9883677298311445,0.8040098176167901,0.8961887737239673
175,0.1,6,3,0.9883677298311445,0.8040098176167901,0.8961887737239673
175,0.1,4,3,0.9886178861788618,0.8037463680002032,0.8961821270895325
200,0.05,6,3,0.9886178861788618,0.8037232726831051,0.8961705794309834
150,0.1,4,5,0.9887429643527205,0.8035880047101922,0.8961654845314564
150,0.1,4,3,0.9887429643527205,0.8035811217672353,0.8961620430599779
175,0.05,6,3,0.9884928080050032,0.8038178633995982,0.8961553357023007
150,0.07,4,4,0.9888680425265791,0.8034387469801343,0.8961533947533566
175,0.05,4,3,0.9892432770481551,0.8030508249589032,0.8961470510035292
200,0.1,4,5,0.9884928080050032,0.8037988533666699,0.8961458306858365
150,0.05,6,4,0.9886178861788618,0.8036562986046574,0.8961370923917595
200,0.05,4,3,0.9889931207004378,0.8032738050949844,0.8961334628977111
150,0.05,6,5,0.9886178861788618,0.8036093222263354,0.8961136042025986
200,0.1,6,3,0.9882426516572858,0.8039662154022559,0.8961044335297708
175,0.07,4,5,0.9886178861788618,0.8035613611072372,0.8960896236430496
175,0.05,4,4,0.9891181988742964,0.8030506815642581,0.8960844402192772
200,0.1,5,3,0.9883677298311445,0.803787396427182,0.8960775631291633
